# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
Phi;(real x);real;325
Phi_approx;(real x);real;326
abs;(int x);int;310
abs;(real x);real;318
acos;(real x);real;323
acosh;(real x);real;324
append_col;(matrix x, matrix y);matrix;353
append_col;(matrix x, vector y);matrix;353
append_col;(row_vector x, row_vector y);row_vector;353
append_col;(vector x, matrix y);matrix;353
append_col;(vector x, vector y);matrix;353
append_row;(matrix x, matrix y);matrix;353
append_row;(matrix x, row_vector y);matrix;353
append_row;(row_vector x, matrix y);matrix;353
append_row;(row_vector x, row_vector y);matrix;353
append_row;(vector x, vector y);vector;354
asin;(real x);real;323
asinh;(real x);real;324
atan2;(real x, real y);real;323
atan;(real x);real;323
atanh;(real x);real;324
bernoulli;~;real;364
bernoulli_ccdf_log;(ints y, reals theta);real;364
bernoulli_cdf;(ints y, reals theta);real;364
bernoulli_cdf_log;(ints y, reals theta);real;364
bernoulli_log;(ints y, reals theta);real;364
bernoulli_logit;~;real;365
bernoulli_logit_log;(ints y, reals alpha);real;365
bernoulli_rng;(real theta);int;364
bessel_first_kind;(int v, real x);real;328
bessel_second_kind;(int v, real x);real;329
beta;~;real;399
beta_binomial;~;real;368
beta_binomial_ccdf_log;(ints n, ints N, reals alpha, reals beta);real;369
beta_binomial_cdf;(ints n, ints N, reals alpha, reals beta);real;368
beta_binomial_cdf_log;(ints n, ints N, reals alpha, reals beta);real;369
beta_binomial_log;(ints n, ints N, reals alpha, reals beta);real;368
beta_binomial_rng;(int N, real alpha, real beta);int;369
beta_ccdf_log;(reals theta, reals alpha, reals beta);real;399
beta_cdf;(reals theta, reals alpha, reals beta);real;399
beta_cdf_log;(reals theta, reals alpha, reals beta);real;399
beta_log;(reals theta, reals alpha, reals beta);real;399
beta_rng;(real alpha, real beta);real;400
binary_log_loss;(int y, real y_hat);real;326
binomial;~;real;366
binomial_ccdf_log;(ints n, ints N, reals theta);real;367
binomial_cdf;(ints n, ints N, reals theta);real;366
binomial_cdf_log;(ints n, ints N, reals theta);real;367
binomial_coefficient_log;(real x, real y);real;328
binomial_log;(ints n, ints N, reals theta);real;366
binomial_logit;~;real;368
binomial_logit_log;(ints n, ints N, reals alpha);real;368
binomial_rng;(int N, real theta);int;367
block;(matrix x, int i, int j, int n_rows, int n_cols);matrix;351
categorical;~;real;370
categorical_log;(ints y, vector theta);real;370
categorical_logit;~;real;370
