# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=0
# data=models/bugs_examples/vol1/blocker/blocker.Rdata
# init=random initialization
# append_samples=0
# seed=1336062631
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,d,sigmasq_delta,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,delta.1,delta.2,delta.3,delta.4,delta.5,delta.6,delta.7,delta.8,delta.9,delta.10,delta.11,delta.12,delta.13,delta.14,delta.15,delta.16,delta.17,delta.18,delta.19,delta.20,delta.21,delta.22,sigma_delta
-5929.57,4,-0.271355,0.0263331,-2.89527,-2.52596,-2.03322,-2.28509,-2.75324,-2.23033,-1.67473,-2.0597,-2.04436,-2.23674,-2.37194,-1.62538,-3.43894,-2.69165,-1.17151,-1.44796,-2.06224,-3.07404,-3.02093,-1.45951,-1.94548,-2.77913,-0.128031,-0.146706,-0.347566,-0.389654,0.159084,-0.30322,-0.384801,-0.256972,-0.370005,-0.316744,-0.13974,-0.029436,-0.431574,-0.054388,-0.249686,-0.0132921,-0.475059,0.0707407,-0.226402,-0.413638,-0.315572,-0.788348,0.162275
-5933.02,4,-0.212368,0.0284858,-2.858,-2.60624,-2.07007,-2.29412,-2.74623,-2.25037,-1.67882,-2.0839,-1.94357,-2.19353,-2.3021,-1.70018,-3.38973,-2.61119,-1.23243,-1.39531,-2.02018,-3.16528,-2.98043,-1.47756,-1.91785,-2.81725,-0.103556,-0.218515,-0.259561,-0.386869,0.127798,-0.457872,-0.494961,-0.198319,-0.407878,-0.322096,-0.115843,0.0597128,-0.355289,-0.0292673,-0.318724,-0.0488181,-0.529659,0.0476946,-0.233673,-0.471674,-0.318648,-0.724219,0.168777
-5934.8,4,-0.0865701,0.0470114,-3.13786,-2.29801,-1.93919,-2.48035,-2.48108,-2.88989,-1.68943,-2.07453,-1.90366,-2.24751,-2.52394,-1.49754,-3.11982,-3.01221,-1.39953,-1.59182,-1.6561,-2.95808,-3.6295,-1.3613,-2.27696,-2.66255,-0.207039,0.147654,-0.429372,-0.0300054,0.0914597,-0.062584,-0.341776,-0.222341,-0.0296841,-0.29398,-0.139524,-0.0477767,-0.13937,0.137221,0.0108589,-0.363727,-0.379896,0.00122606,0.105917,-0.166477,-0.316581,-0.188854,0.216821
-5945.96,4,-0.27338,0.0285638,-1.96107,-2.07806,-2.12141,-2.21411,-2.45593,-2.50495,-1.56805,-2.26028,-2.04983,-2.3164,-2.30717,-1.57503,-3.57043,-2.79704,-1.17568,-1.51318,-2.22631,-3.40518,-4.07856,-1.61457,-1.7926,-3.16348,0.36364,-0.521669,-0.282487,-0.332052,-0.167615,0.338208,-0.433072,-0.0484265,-0.430733,-0.295707,-0.380873,-0.129392,-0.0858077,-0.14776,-0.548094,-0.002867,0.0202802,0.10974,-0.264717,-0.102123,-0.837785,-0.561511,0.169008
-5945.09,4,-0.128961,0.0280377,-2.68399,-2.0007,-2.13608,-2.59075,-2.48595,-2.87334,-1.89427,-2.22746,-2.07579,-2.3101,-2.54301,-1.61865,-2.47244,-2.961,-1.58565,-1.25465,-2.06716,-2.85273,-3.46931,-1.3912,-2.62024,-3.03561,-0.524864,-0.152356,-0.263396,-0.174721,-0.114908,-0.427344,-0.295176,-0.106049,-0.278462,-0.299896,-0.0705635,-0.0562212,-0.575596,0.0952891,0.318146,-0.143855,-0.0904833,-0.220625,0.184752,-0.22465,0.0909753,-0.476797,0.167445
-5937.94,4,-0.21533,0.0291851,-2.70978,-2.00883,-2.17513,-2.36087,-2.42929,-2.75681,-1.71355,-1.9856,-1.84382,-2.1796,-2.47678,-1.72731,-2.54713,-2.88927,-1.52648,-1.30784,-2.19073,-2.84482,-3.47555,-1.47768,-2.53924,-2.89795,-0.420422,-0.215493,-0.021569,-0.199977,-0.191494,-0.208917,-0.204128,-0.332938,-0.281902,-0.27,0.0672391,-0.0875974,-0.602152,0.129503,0.383953,-0.156797,-0.0831358,-0.108894,0.0328061,-0.191689,0.122299,-0.349392,0.170836
-5934.8,4,-0.254979,0.0365235,-2.69085,-2.35157,-1.78245,-2.48771,-2.4971,-2.61043,-1.70616,-2.0588,-1.81466,-2.27786,-2.35913,-1.50574,-2.67472,-2.98812,-1.62506,-1.73955,-1.97243,-2.55405,-3.70214,-1.75645,-2.2686,-2.74231,0.00779628,-0.250169,-0.328234,0.0620488,0.0796901,-0.570151,-0.50203,-0.222567,-0.595019,-0.276514,-0.281315,0.062285,-0.393026,0.371306,-0.332703,-0.0518375,-0.0554084,-0.290703,-0.173024,-0.0446841,-0.101505,-0.670303,0.191111
-5933.01,4,-0.284792,0.0375231,-2.79065,-2.13133,-1.79797,-2.39812,-2.65022,-2.65703,-1.60873,-2.17852,-1.83335,-2.17698,-2.30341,-1.57618,-2.82691,-2.88094,-1.64253,-1.85368,-1.97433,-2.58624,-3.58735,-1.78274,-2.19315,-2.59189,-0.0378876,-0.321252,-0.496465,-0.206509,0.208228,-0.374016,-0.339302,-0.154244,-0.742667,-0.354947,-0.262533,-0.118545,-0.454627,0.332486,-0.198468,-0.151005,-0.148755,-0.155022,-0.194972,0.0313133,-0.173737,-0.458411,0.193709
-5929.58,4,-0.238696,0.023912,-2.52975,-2.1745,-2.06204,-2.22505,-2.30107,-2.42479,-1.75897,-2.13747,-2.16722,-2.13078,-2.50642,-1.54907,-3.16715,-2.64502,-1.19204,-1.43358,-1.96308,-3.30135,-3.14247,-1.3355,-1.95097,-3.03353,-0.31221,-0.491565,-0.236341,-0.415562,-0.32768,0.0442467,-0.461157,-0.201063,-0.0388319,-0.44492,-0.252599,-0.155895,-0.114388,-0.163137,-0.459926,-0.433128,-0.101071,-0.307876,-0.1181,-0.593368,-0.436763,-0.102451,0.154635
-5932.7,4,-0.154352,0.0253097,-2.9265,-1.85097,-2.10923,-2.50162,-2.28828,-2.28902,-1.79995,-2.03454,-2.1603,-2.34772,-2.20341,-1.35052,-3.01238,-2.7556,-1.03202,-1.25272,-1.90399,-3.5764,-3.47384,-1.1213,-2.12686,-2.9885,-0.191121,-0.244111,-0.298454,-0.0867738,-0.488493,0.0556,-0.227745,-0.359133,-0.0805462,-0.234958,-0.0916526,-0.231366,-0.172723,-0.0478678,-0.33361,-0.274128,-0.135264,-0.166766,-0.143393,-0.319969,-0.368068,-0.217226,0.15909
-5934.21,4,-0.257206,0.0198984,-2.79974,-1.98324,-2.27401,-2.49627,-2.06626,-2.61356,-1.73289,-2.05328,-2.23511,-2.20441,-2.42972,-1.46857,-3.24454,-2.93521,-1.1811,-1.24921,-2.0335,-3.51818,-3.38044,-1.78473,-2.06697,-3.17785,-0.259776,-0.268197,-0.322143,-0.187843,-0.512518,-0.439428,-0.294291,-0.127018,-0.0938253,-0.3323,-0.357042,-0.129794,-0.14133,-0.0302784,-0.288927,-0.524744,-0.396936,-0.0497451,0.123583,-0.246487,-0.482797,-0.250575,0.141062
-5924.61,4,-0.275995,0.0191905,-2.87767,-1.90318,-2.30532,-2.29639,-2.45132,-2.00118,-1.61289,-2.0768,-1.7127,-2.26007,-2.2414,-1.68225,-3.3344,-2.51778,-1.32071,-1.63891,-1.86928,-3.14899,-3.17647,-1.38327,-1.97018,-2.69807,-0.316623,-0.497575,-0.255426,-0.299021,-0.357039,-0.237684,-0.457117,-0.352964,-0.309335,-0.304647,-0.162517,-0.15568,-0.279942,-0.164428,-0.300219,-0.0346644,-0.130998,-0.534149,-0.165113,-0.137822,-0.345275,-0.487194,0.13853
-5924.62,4,-0.293413,0.0126223,-2.57115,-2.13237,-2.08913,-2.38779,-2.33651,-1.58307,-1.69863,-2.15849,-2.20468,-2.23339,-2.10933,-1.19659,-2.76821,-3.03246,-1.35555,-1.23764,-2.02344,-3.13118,-3.33816,-1.62736,-2.20582,-3.15829,-0.231525,-0.221119,-0.38039,-0.328231,-0.187584,-0.510923,-0.404198,-0.163678,-0.309061,-0.30709,-0.12645,-0.310361,-0.3288,0.129627,-0.258675,-0.327927,-0.373647,0.0465855,-0.381976,-0.304411,-0.322089,-0.373163,0.112349
-5920.26,4,-0.30578,0.0166269,-2.39921,-1.89351,-1.88835,-2.45931,-2.61947,-2.04883,-1.69168,-1.93536,-1.75357,-2.18886,-2.36189,-1.67361,-2.95141,-2.88857,-1.23697,-1.71448,-1.89173,-3.02096,-3.09855,-1.32436,-2.02543,-2.87874,-0.32822,-0.563775,-0.2639,-0.236568,-0.140978,-0.276172,-0.369515,-0.216523,-0.339045,-0.462953,-0.171579,-0.163417,-0.31331,0.183606,-0.365992,-0.206459,-0.147899,-0.53348,-0.17598,-0.41083,-0.453923,-0.241511,0.128945
-5920.26,4,-0.30578,0.0166269,-2.39921,-1.89351,-1.88835,-2.45931,-2.61947,-2.04883,-1.69168,-1.93536,-1.75357,-2.18886,-2.36189,-1.67361,-2.95141,-2.88857,-1.23697,-1.71448,-1.89173,-3.02096,-3.09855,-1.32436,-2.02543,-2.87874,-0.32822,-0.563775,-0.2639,-0.236568,-0.140978,-0.276172,-0.369515,-0.216523,-0.339045,-0.462953,-0.171579,-0.163417,-0.31331,0.183606,-0.365992,-0.206459,-0.147899,-0.53348,-0.17598,-0.41083,-0.453923,-0.241511,0.128945
-5923.1,4,-0.258898,0.0209004,-2.09004,-2.13513,-2.02969,-2.39527,-2.38329,-2.12272,-1.61094,-2.32155,-2.15919,-2.33332,-2.30605,-1.36608,-2.84584,-2.94552,-1.12888,-1.38284,-2.05829,-2.94952,-3.05157,-1.45867,-2.18335,-2.81619,-0.173893,-0.336532,-0.575754,-0.291846,-0.053129,-0.156637,-0.315304,-0.185251,-0.257212,-0.157169,-0.283172,-0.0923311,-0.388758,0.192778,-0.459643,-0.110254,-0.33216,-0.0270819,-0.503135,-0.238449,-0.310939,-0.464328,0.14457
-5928.41,4,-0.308968,0.0208864,-2.04707,-2.22479,-1.80936,-2.25411,-2.37243,-2.03027,-1.76183,-2.04273,-2.45419,-2.15423,-2.39578,-1.59058,-2.74769,-2.74752,-1.26497,-1.60539,-1.69503,-2.83567,-3.22261,-1.38471,-1.99615,-2.66801,-0.104716,-0.33266,-0.629094,-0.364915,-0.376475,-0.323852,-0.46562,-0.254466,-0.0460556,-0.407095,-0.185395,-0.197782,-0.272336,-0.00215406,-0.304527,0.127819,-0.224552,-0.169514,-0.299182,-0.28789,-0.274425,-0.666017,0.144521
