# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17834.3,0.375373,0.356793,0.267834,15.9985,-7.13572,-4.01798,16.7066,5.05535,-15.9739,19.5771,8.92119,18.0454,12.46,7.08322,16.6965
-17839.3,0.373775,0.356113,0.270112,14.5258,-7.49352,-3.80649,14.8582,5.14649,-15.5894,20.46,9.47232,17.8404,12.4194,7.10544,16.9562
-17834.7,0.3745,0.356125,0.269374,14.7629,-7.34283,-5.45231,17.4701,5.07943,-16.2974,19.2702,9.17794,18.2753,12.5912,7.151,17.2583
-17795.4,0.372207,0.357519,0.270274,15.076,-7.52379,-3.13848,16.6501,5.00876,-16.2652,18.4122,10.1708,18.2928,12.3775,7.16573,17.065
-17822.5,0.375797,0.358176,0.266027,14.439,-7.34282,-3.83966,16.1814,5.02254,-15.4251,19.0192,9.06534,18.0903,12.3851,6.85002,16.3385
-17836.7,0.375604,0.355875,0.268521,17.98,-6.82727,-2.97377,15.6611,5.09043,-14.5033,20.0691,8.71393,18.0437,12.4082,6.73805,16.3012
-17846.2,0.375961,0.356377,0.267662,16.902,-6.8978,-4.39517,16.8045,5.11138,-16.1817,19.5632,8.61237,18.0465,12.3852,6.85501,16.9857
-17830.8,0.374879,0.35771,0.267411,16.0507,-6.75275,-3.2501,17.1547,5.14056,-15.284,19.613,8.95659,17.7566,12.3886,6.99412,16.6905
-17846.8,0.37704,0.357574,0.265386,18.2281,-7.69873,-2.24287,17.578,5.15253,-14.847,19.1742,9.08062,17.4829,12.5349,6.64231,16.9101
-17833.4,0.37674,0.357581,0.265679,15.1616,-6.84024,-4.70166,17.4983,4.90224,-15.4278,18.6208,8.03558,17.6947,12.4724,7.13956,16.5913
-17862.5,0.375349,0.35766,0.266991,16.1823,-7.27476,-5.3207,16.0525,5.09074,-14.7149,19.9262,9.08484,18.2512,12.5229,6.97733,16.6816
-17822.8,0.376386,0.354272,0.269342,15.1762,-6.63736,-4.79728,16.4095,5.01945,-15.6707,19.4311,8.60048,17.8499,12.4104,7.16219,16.8804
-17866.5,0.377179,0.354973,0.267848,15.5267,-7.61197,-2.6993,16.565,5.2039,-16.0584,19.9969,8.60419,18.3938,12.5211,7.33037,16.6905
-17869.4,0.378796,0.354217,0.266987,17.4435,-7.379,-5.92986,17.5821,4.88414,-16.388,20.1278,9.51136,18.1421,12.4642,6.92076,16.5717
-17839.9,0.377712,0.354598,0.26769,14.4786,-7.47069,-6.05097,17.2885,5.1634,-15.5195,18.7369,8.54667,18.0865,12.5351,7.0131,17.0366
-17806.6,0.376271,0.355651,0.268078,15.5006,-6.50523,-3.50499,17.7369,4.96617,-16.824,18.4091,9.36584,18.3005,12.3046,7.10951,16.6576
-17795.3,0.373379,0.355223,0.271398,14.9073,-7.32829,-3.08073,16.9556,5.13059,-13.2725,19.6422,8.42622,18.2764,12.4532,6.79307,16.2852
-17894.1,0.375646,0.35946,0.264894,17.1587,-7.30851,-5.97658,15.8537,5.08032,-13.5721,19.6952,9.97506,18.3167,12.4258,6.85216,16.6173
-17811.3,0.377585,0.352612,0.269802,16.602,-7.21197,-2.22557,17.5223,5.09978,-16.53,18.9549,8.90789,17.6702,12.6599,7.14161,17.144
-17795.3,0.374037,0.355102,0.270861,13.9711,-6.29608,-4.57644,17.3819,4.92709,-14.2785,18.9304,9.60778,18.1689,12.4896,7.2302,16.8398
-17865.9,0.372261,0.360698,0.267041,18.0128,-6.83993,-0.733283,16.1966,5.03676,-14.4855,20.3857,9.07645,18.0693,12.4218,6.68069,16.8276
-17858.9,0.374233,0.358607,0.26716,16.2219,-7.61925,-5.40393,16.4176,5.26202,-16.4937,20.0776,8.21339,17.8503,12.3565,7.13204,16.3423
-17788.2,0.370898,0.35961,0.269492,14.9612,-6.77684,-5.65335,17.0135,4.85949,-15.1141,19.1057,8.75128,17.8518,12.5202,6.85283,16.695
-17823.3,0.376544,0.356599,0.266857,17.9692,-7.21235,-3.26733,16.3089,4.9929,-15.9077,18.7825,9.22352,18.1641,12.3828,6.92777,16.3391
-17831.6,0.375534,0.355143,0.269324,15.618,-7.19305,-3.73509,16.9463,5.15993,-17.5045,19.3664,8.26326,18.3308,12.6155,7.06727,16.9199
-17844.7,0.376652,0.357305,0.266043,16.679,-8.01908,-2.27396,16.811,4.97342,-14.9998,19.1417,9.44097,17.5269,12.2893,7.30015,16.6197
-17895.3,0.37701,0.357455,0.265535,15.3762,-7.06749,-7.63916,16.0023,4.92627,-15.9898,19.8575,9.48411,18.6992,12.3496,6.91328,16.6833
-17841.1,0.372168,0.360293,0.267539,17.6524,-6.5993,-3.36065,17.2188,5.01283,-17.1241,19.7681,9.4351,17.8422,12.6217,7.15921,16.9877
-17869.3,0.374223,0.358249,0.267527,17.7124,-7.54486,-2.76702,17.1402,4.94655,-15.104,20.422,8.9773,18.2085,12.4919,7.0066,16.882
-17844.2,0.374102,0.358392,0.267505,13.9424,-6.5215,-1.77894,17.0471,5.17298,-15.3267,19.7535,9.26565,18.1343,12.5624,7.03717,17.0344
-17846.4,0.375553,0.356834,0.267613,15.5923,-7.0986,-3.55517,17.3159,5.10316,-15.8888,19.3228,8.6272,18.4717,12.487,7.28336,16.701
-17846.1,0.371372,0.359466,0.269162,17.0108,-7.14372,-4.352,15.9546,5.17767,-15.2975,20.2469,9.07958,18.2859,12.4585,7.19787,16.5716
-17825.5,0.374819,0.358291,0.266889,15.8943,-7.57851,-3.66927,16.1567,5.19054,-15.7101,19.4075,9.30591,17.683,12.427,6.99036,16.4453
-17871.9,0.376884,0.355744,0.267371,17.1995,-6.63332,-4.75793,17.6724,4.98972,-15.0794,19.5706,10.3345,18.6916,12.482,7.32127,16.6542
-17854.5,0.376669,0.356265,0.267066,15.4199,-7.20994,-4.5455,16.4695,5.28171,-15.6396,19.6566,9.58298,17.9046,12.6073,7.45134,16.5801
