# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_nuts.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-55900.2,1,0.00390625,2,3,0,0.176578,0.386136,0.437286,-0.116162,-0.903045,-1.99318,-1.13972,1.71821,0.341041,3.71951,4.48582,8.62002,0.231869,0.862973,37.0935
-55900.2,0,14.3855,1,1,1,0.176578,0.386136,0.437286,-0.116162,-0.903045,-1.99318,-1.13972,1.71821,0.341041,3.71951,4.48582,8.62002,0.231869,0.862973,37.0935
-55900.2,0,2.43117,1,1,1,0.176578,0.386136,0.437286,-0.116162,-0.903045,-1.99318,-1.13972,1.71821,0.341041,3.71951,4.48582,8.62002,0.231869,0.862973,37.0935
-55900.2,0,0.239791,1,1,1,0.176578,0.386136,0.437286,-0.116162,-0.903045,-1.99318,-1.13972,1.71821,0.341041,3.71951,4.48582,8.62002,0.231869,0.862973,37.0935
-52446.7,0.666667,0.0186273,2,3,0,0.219715,0.369906,0.410379,-0.126799,-0.949086,-1.97962,-0.995132,1.81796,0.2829,4.13497,7.80249,25.9517,0.247281,1.45769,20.1619
-51368.7,1,0.00952276,3,7,0,0.29526,0.338023,0.366718,-0.151777,-0.959291,-1.93907,-0.964582,1.95724,0.29714,4.77396,9.64206,13.0041,0.24954,2.50057,18.2713
-51184.3,1,0.0145613,4,11,0,0.305024,0.342043,0.352933,-0.133598,-0.976389,-1.92151,-0.845893,1.97222,0.268361,5.14805,11.1647,23.1403,0.246936,4.09404,20.7538
-51063.2,0.333333,0.0243505,2,3,0,0.329612,0.332083,0.338305,-0.154445,-0.969468,-1.9065,-0.852086,1.96952,0.275658,5.28873,10.8071,17.8388,0.244161,4.33305,20.5527
-51040,0.990823,0.00530085,3,7,0,0.312773,0.336702,0.350525,-0.153456,-0.959199,-1.93444,-0.843723,1.98017,0.284627,5.37726,10.6293,17.7253,0.248192,4.34818,20.2379
-51034.6,0.830091,0.00933707,4,15,0,0.315739,0.332728,0.351533,-0.158675,-0.950053,-1.93253,-0.848427,1.94609,0.269032,5.49634,10.4219,17.0747,0.275986,4.60662,19.1791
