AL -0.0074 0.0128 -0.0042 -0.0309 -0.1137 -0.0116 -0.0107 0.0601 0.0708 0.0125 0.0033 0.0595
AK NA NA NA -0.011 0.0073 -0.0007 -0.0069 -0.0331 -0.0463 -0.0144 -0.0144 -0.0085
AZ -0.006 -0.0035 -0.0029 0.0032 -0.0363 -0.0116 -0.0149 -0.0404 -0.0441 -0.0144 -0.0127 -0.0085
AR 0.0074 0.0076 0.0068 -0.0319 -0.0233 -0.0046 -0.0092 0.0604 0.0794 0.0144 0.0035 0.094
CA -0.0242 -0.0217 -0.0211 -0.0315 0.0053 -0.0368 -0.041 0.0057 -0.0277 -0.033 0.0022 0.0055
CO -0.0074 -0.007 -0.0064 -0.0127 -0.0033 -0.0066 -0.012 -0.0364 -0.0396 -0.0093 -0.0073 -0.0006
CT -0.006 -0.0035 -0.0028 0.0737 0.0399 0.0038 -0.0018 0.0058 0.0006 0.0015 0.001 0.003
DE -0.0016 0.0009 0.0015 -0.014 0.0072 -0.0029 -0.0091 0.0025 0.0069 0.0094 0.0045 -0.0007
FL -0.0001 0.0024 0.0031 -0.0223 -0.0363 -0.0116 -0.0149 0.0582 0.0665 0.0012 -0.0058 0.0565
GA 0.0074 0.0076 0.0068 -0.0338 -0.1137 -0.0062 -0.0149 0.0898 0.1109 0.0144 0.0089 0.0596
HI NA NA NA 0.0274 0.0159 0.0092 0.0105 0.0068 0.0041 0.011 0.0106 0.0085
ID -0.0074 -0.0076 -0.0068 -0.0387 -0.0026 -0.0116 -0.0149 -0.0404 -0.0481 -0.0144 -0.0152 -0.0085
IL -0.0043 0.0297 0.0303 0.012 0.0036 -0.0048 0.0222 0.0036 0.0026 0.0038 0.0069 0.0074
IN -0.0074 -0.0062 -0.0056 -0.0222 -0.0039 -0.0108 -0.0149 -0.0056 -0.0042 -0.0037 -0.0202 -0.0241
IA -0.0074 -0.0076 -0.0068 -0.0188 -0.0054 -0.0076 0.0181 0.0016 0.0035 0.0013 0.0086 0.0085
KS -0.0074 -0.0076 -0.0068 -0.0256 -0.0144 -0.0116 0.0167 -0.0245 -0.0056 -0.0076 -0.0101 -0.0053
KY 0.0224 0.0072 0.0068 -0.0191 0.0014 -0.0038 -0.0098 -0.0022 0.0062 0.0105 0.0043 -0.0005
LA 0.0074 0.0076 0.0068 0.0287 -0.1137 -0.0074 -0.0089 0.0624 0.068 0.0079 0.002 0.0647
ME -0.0074 -0.0076 -0.0068 0.0357 0.0212 0.0148 0.0021 0.0057 0.0024 0.0067 0.0028 -0.0008
MD -0.0058 -0.0033 -0.0027 -0.006 0.0082 -0.0157 -0.0222 0.0024 0.0065 0.0126 0.0143 0.0085
MA -0.001 0.0015 0.0021 0.1039 0.0495 0.0116 0.0324 0.0068 0.0144 0.0141 0.0464 0.0085
MI -0.0058 -0.0033 -0.0027 0.0074 0.007 0.0012 0.0304 -0.0247 0.0013 0.0036 0.0037 0.0022
MN -0.0009 0.0016 0.0022 0.0127 0.0254 0.0303 0.0323 0.0245 0.0321 0.0459 0.0152 0.0085
MS 0.0074 0.0076 0.0068 -0.031 -0.1137 -0.0116 -0.0113 0.0582 0.0609 0.0089 0.002 0.058
MO 0.0356 0.0066 0.0068 -0.0037 0.0092 -0.0014 -0.0067 0.0014 0.0049 0.0064 0.0032 0.0042
MT -0.0072 -0.0047 -0.0041 -0.0024 0.0031 -0.0059 -0.0129 -0.0329 -0.0351 -0.0077 -0.0036 0.0023
NE -0.0074 -0.0076 -0.0068 -0.0159 -0.0159 -0.0116 0.0167 -0.0068 -0.0144 -0.0144 -0.0152 -0.0085
NV -0.0074 -0.0076 -0.0068 -0.0134 0.0063 -0.0046 -0.0129 -0.0356 -0.0346 -0.0133 -0.0138 -0.0085
NH -0.0074 -0.0076 -0.0068 0.0555 0.0288 -0.0042 -0.0106 -0.0026 -0.0058 -0.0125 -0.0142 -0.0085
NJ -0.0074 -0.0059 -0.0053 0.0281 0.0008 0.0001 -0.0065 0.0009 0.001 0.0006 0.0006 -0.0018
NM -0.002 0.0005 0.0012 0.0333 0.0048 -0.0047 -0.0146 -0.0356 -0.0328 -0.0022 -0.0005 0.0034
NY -0.0374 -0.0034 -0.0028 0.0205 -0.0115 0.0036 -0.0013 0.0065 0.007 0.0266 0.0112 0.0085
NC 0.0074 0.0076 0.0068 -0.0351 -0.027 -0.0059 -0.0149 0.0582 0.0709 0.0114 0.0022 0.0609
ND -0.0074 -0.0076 -0.0068 -0.0009 -0.0051 -0.0096 0.0167 -0.0041 -0.0354 -0.0144 -0.0125 -0.0044
OH -0.0064 -0.0039 -0.0033 -0.0072 -0.0018 -0.0046 -0.0077 0.0022 0.0033 0.0031 0.0027 0.0005
OK 0.0021 0.0046 0.0052 -0.0331 -0.0063 -0.0116 -0.0149 -0.0068 -0.0041 -0.0054 -0.0124 -0.0085
OR -0.0074 -0.0076 -0.0068 -0.0216 0.0023 -0.0034 -0.0094 0.0063 0.0056 0.0031 0.0067 0.0085
PA -0.0033 -0.0008 -0.0002 0.02 0.0067 0.0001 -0.0036 0.0047 0.0052 0.0058 0.0103 0.0085
RI 0.0038 0.0063 0.0068 0.1113 0.0495 0.0116 0.0149 0.0068 0.0139 0.0144 0.0152 0.0085
SC 0.0074 0.0076 0.0068 -0.0341 -0.1137 -0.0116 -0.0149 0.0582 0.0716 0.0125 -0 0.0565
SD -0.0074 -0.0076 -0.0068 -0.0138 -0.0069 -0.0116 0.0482 0.0058 0.0052 -0.0078 -0.0069 0.0009
TN 0.0042 0.0067 0.0245 -0.0326 -0.0354 -0.0103 -0.0149 0.0582 0.0727 0.013 0.0071 0.0807
TX 0.0074 -0.0239 -0.0247 0.0148 -0.0005 -0.0013 -0.0054 0.0633 0.05 -0.0152 -0.0169 0.0305
UT -0.0067 -0.0042 -0.0035 -0.042 -0.0058 -0.0116 -0.0149 -0.0404 -0.0481 -0.0144 -0.0152 -0.0085
VT -0.0074 -0.0076 -0.0068 0.0459 0.0184 -0.0058 -0.0102 -0.0016 -0.0051 0.0016 0.0047 0.0053
VA -0.0043 -0.0018 -0.0011 -0.0356 -0.039 -0.011 -0.0149 0.0582 0.0636 0.0014 -0.0016 0.058
WA -0.0019 0.0006 0.0013 -0.0161 0.0048 -0.0036 -0.0055 0.0048 0.0012 0.0003 0.0053 0.0085
WV 0.0067 0.0076 0.0068 -0.0268 0.0103 0.0032 0.0004 0.0031 0.0122 0.0144 0.0118 0.0085
WI -0.0074 -0.0076 -0.0068 0.0144 -0.0003 -0.0041 0.0228 0.0068 0.0069 0.0068 0.0099 0.0085
WY -0.0074 -0.0076 -0.0068 -0.022 -0.0036 -0.0103 -0.0149 -0.0404 -0.0467 -0.0144 -0.0152 -0.0085
