"org" "year" "survey" "bush" "state" "edu" "age" "female" "black" "weight"
"11352" "cbsnyt" 7 "9158" NA 7 3 1 1 0 923
"11353" "cbsnyt" 7 "9158" 1 39 4 2 1 0 558
"11354" "cbsnyt" 7 "9158" 0 31 2 4 1 0 448
"11355" "cbsnyt" 7 "9158" 0 7 3 1 1 0 923
"11356" "cbsnyt" 7 "9158" 1 33 2 2 1 0 403
"11357" "cbsnyt" 7 "9158" 1 33 4 4 1 0 317
"11358" "cbsnyt" 7 "9158" 1 39 2 2 0 0 1532
"11359" "cbsnyt" 7 "9158" 1 20 2 4 1 0 896
"11360" "cbsnyt" 7 "9158" 0 33 4 3 0 0 884
"11361" "cbsnyt" 7 "9158" 0 40 1 3 0 0 4091
"11362" "cbsnyt" 7 "9158" 0 31 4 2 1 0 279
"11363" "cbsnyt" 7 "9158" 1 33 3 4 1 0 1212
"11364" "cbsnyt" 7 "9158" 1 33 4 2 1 0 279
"11365" "cbsnyt" 7 "9158" 0 31 4 2 1 0 558
"11366" "cbsnyt" 7 "9158" 0 22 4 2 1 0 558
"11367" "cbsnyt" 7 "9158" NA 7 2 1 1 1 1654
"11368" "cbsnyt" 7 "9158" 1 31 2 4 0 0 568
"11369" "cbsnyt" 7 "9158" 1 39 1 4 0 0 2691
"11370" "cbsnyt" 7 "9158" 0 31 2 1 1 0 560
"11371" "cbsnyt" 7 "9158" 0 33 3 2 0 0 768
"11372" "cbsnyt" 7 "9158" 0 33 3 4 1 0 541
"11373" "cbsnyt" 7 "9158" 0 7 2 1 0 0 1422
"11374" "cbsnyt" 7 "9158" 1 39 2 3 0 0 1069
"11375" "cbsnyt" 7 "9158" 0 33 4 2 0 0 708
"11376" "cbsnyt" 7 "9158" 1 33 4 2 0 0 708
"11377" "cbsnyt" 7 "9158" 0 22 4 3 1 0 697
"11378" "cbsnyt" 7 "9158" 1 31 2 1 0 0 711
"11379" "cbsnyt" 7 "9158" 1 31 4 3 1 0 697
"11380" "cbsnyt" 7 "9158" 0 31 3 4 1 0 361
"11381" "cbsnyt" 7 "9158" 0 22 1 2 0 0 2336
"11382" "cbsnyt" 7 "9158" 0 33 2 3 1 0 843
"11383" "cbsnyt" 7 "9158" 0 44 1 4 0 0 2642
"11384" "cbsnyt" 7 "9158" 0 22 3 2 0 0 384
"11385" "cbsnyt" 7 "9158" 0 39 4 2 0 0 708
"11386" "cbsnyt" 7 "9158" 0 33 3 1 0 0 2341
"11387" "cbsnyt" 7 "9158" 0 10 2 2 1 0 790
"11388" "cbsnyt" 7 "9158" 1 31 1 4 1 0 1061
"11389" "cbsnyt" 7 "9158" 1 4 2 3 1 0 1655
"11390" "cbsnyt" 7 "9158" 1 31 2 3 1 0 421
"11391" "cbsnyt" 7 "9158" 0 44 4 3 0 0 868
"11392" "cbsnyt" 7 "9158" 1 14 2 2 1 0 804
"11393" "cbsnyt" 7 "9158" 1 41 4 3 0 0 868
"11394" "cbsnyt" 7 "9158" 1 22 4 1 1 0 664
"11395" "cbsnyt" 7 "9158" 1 10 1 1 0 0 1396
"11396" "cbsnyt" 7 "9158" 1 41 4 2 1 0 548
"11397" "cbsnyt" 7 "9158" 1 39 3 1 0 0 585
