"","y","roach1","treatment","senior","exposure2"
"1",153,308,1,0,0.8
"2",127,331.25,1,0,0.6
"3",7,1.67,1,0,1
"4",7,3,1,0,1
"5",0,2,1,0,1.14285714285714
"6",0,0,1,0,1
"7",73,70,1,0,0.8
"8",24,64.56,1,0,1.14285714285714
"9",2,1,0,0,1
"10",2,14,0,0,1.14285714285714
"11",0,138.25,0,0,1
"12",21,16,0,0,1
"13",0,97,0,0,1
"14",179,98,0,0,0.8
"15",136,44,0,0,1
"16",104,450,0,0,0.8
"17",2,36.67,0,0,0.8
"18",5,75,0,0,1
"19",1,2,0,0,1
"20",203,342.5,0,0,1
"21",32,22.5,0,0,1
"22",1,4,0,0,1
"23",135,94,0,0,1
"24",59,132.13,0,0,0.857142857142857
"25",29,80,0,0,1
"26",120,95,0,0,1
"27",44,34.13,0,0,0.8
"28",1,19,0,0,1
"29",2,25,0,0,1
"30",193,57.5,0,0,1
"31",13,3.11,0,0,1
"32",37,10.5,0,0,1
"33",2,47,0,0,1
"34",0,2.63,0,0,1
"35",3,204,0,0,1
"36",0,0,0,0,1
"37",0,0,0,0,1
"38",15,246.25,0,0,0.8
"39",11,76.22,0,0,1.57142857142857
"40",19,15,0,0,1.42857142857143
"41",0,14.88,0,0,1
"42",19,51,0,0,1
"43",4,15,0,0,1
"44",122,52.5,0,0,0.8
"45",48,13.75,0,0,1
"46",0,1.17,0,0,1
"47",0,1,0,0,1
"48",3,2,0,0,1
"49",0,0,0,0,1
"50",9,2,0,0,1
"51",0,2,0,0,1.14285714285714
"52",0,30,0,0,1.14285714285714
"53",0,7,0,0,1
"54",12,18,0,0,1
"55",0,2,0,0,0.8
"56",357,266,0,0,1
"57",11,174,1,0,0.914285714285714
"58",60,252,1,0,1
"59",0,0.88,1,0,1.28571428571429
"60",159,372.5,1,0,1
"61",50,42,1,0,1
"62",48,19,1,0,0.771428571428571
"63",178,263,1,0,1
"64",4,34,1,0,1.42857142857143
"65",6,1.75,1,0,1
"66",0,213.5,1,0,0.771428571428571
