	switch	arsenic	dist	assoc	educ
1	1	2.36	16.82600021	0	0
2	1	0.71	47.3219986	0	0
3	0	2.07	20.96699905	0	10
4	1	1.15	21.48600006	0	12
5	1	1.1	40.87400055	1	14
6	1	3.9	69.51799774	1	9
7	1	2.97	80.71099854	1	4
8	1	3.24	55.14599991	0	10
9	1	3.28	52.64699936	1	0
10	1	2.52	75.0719986	1	0
11	1	3.13	29.77400017	1	5
12	1	3.04	34.50400162	0	0
13	1	2.91	63.80400085	1	0
14	1	3.21	73.60399628	1	0
15	1	1.7	67.65499878	1	0
16	1	1.8	80.66000366	1	7
17	1	1.44	52.18199921	0	7
18	1	1.43	52.18199921	1	7
19	1	2.33	50.5340004	1	0
20	1	2.83	31.42200089	0	10
21	1	1.79	33.00899887	1	7
22	1	2.54	37.87099838	0	0
23	1	2.25	48.3730011	1	5
24	1	2.42	47.30899811	0	0
25	1	1.62	67.78500366	0	8
26	1	2.34	81.13800049	1	8
27	1	3.49	95.45999908	0	10
28	1	2.13	114.4179993	0	16
29	1	0.93	157.6289978	1	10
30	1	3.36	151.9199982	1	10
31	1	1.49	107.6910019	0	10
32	1	0.83	105.6679993	0	10
33	1	1.37	105.6259995	1	0
34	0	2.8	107.6910019	0	0
35	0	0.81	107.6910019	0	0
36	1	1.48	125.3170013	1	3
37	0	1.92	107.6910019	1	0
38	1	2.74	107.6910019	0	10
39	1	2.49	107.6910019	1	0
40	0	3.95	107.6910019	0	0
41	1	2.75	107.6910019	0	0
42	1	2.91	54.56999969	0	0
43	1	0.83	54.56999969	0	0
44	1	3.67	54.56999969	1	5
45	1	2.9	54.56999969	0	0
46	1	0.78	54.56999969	1	10
47	0	2.52	3.618000031	1	5
48	1	2.48	58.16699982	0	0
49	1	4.47	72.34600067	0	8
50	1	1.52	40.31800079	0	0
51	1	1.8	67.21900177	0	0
52	0	0.51	99.01300049	0	0
53	1	0.64	115.913002	1	0
54	1	1.01	71.7990036	1	5
55	1	0.74	141.5359955	0	8
56	1	1.81	84.64600372	1	0
57	1	2.69	65.93199921	0	0
58	1	4.85	67.94000244	1	0
59	1	3.18	64.69799805	0	6
60	1	5.06	62.63499832	1	10
61	1	2.69	47.9090004	0	10
62	1	0.57	24.00300026	0	12
63	1	4.55	17.98200035	0	7
64	0	3.91	11.14700031	1	6
65	1	0.89	39.97700119	1	5
66	0	1	69.1309967	0	0
67	1	0.95	37.65299988	1	0
68	1	3.55	32.07099915	1	7
69	1	4.52	19.08399963	0	5
70	1	4.76	23.91200066	0	0
71	1	1.99	28.55999947	1	5
72	0	2.85	21.96500015	0	0
73	0	0.81	91.00700378	0	0
74	1	2.85	26.51300049	1	8
75	1	2.18	23.3239994	0	3
76	1	4.23	31.59199905	0	5
77	1	1.92	31.3239994	1	0
78	1	1.63	38.84899902	0	8
79	1	5.45	9.126000404	1	0
80	0	1.57	19.38199997	0	8
81	1	1.94	12.46100044	0	8
82	1	1.58	14.93700027	0	0
83	1	0.67	13.21899986	1	5
84	1	1.4	6.829999924	0	5
85	0	1.18	30.40600014	1	3
86	0	0.77	18.5510006	1	5
87	0	0.77	24.82900047	0	0
88	1	1.44	28.67099953	0	12
89	0	0.77	20.87100029	1	5
90	1	0.77	20.12000084	1	0
91	0	0.73	13.49400043	1	5
92	1	1.9	19.19199944	0	0
93	0	0.72	28.64599991	0	8
94	0	0.88	16.16600037	0	0
95	0	1.04	27.4279995	0	5
96	0	1.21	15.83899975	1	0
