    STATE$       STATE     DISTRICT      DVOTE92      RVOTE92      OTHER92       DWIN92     CONTST94      DVOTE94      RVOTE94      OTHER94    
 Alabama                41            1        78742       128874         6548            0            1        49671       101956            0
 Alabama                41            2       109335       112906         5906            0            1        44694       124525            0
 Alabama                41            3       119175        73800         4570            1            1        93795        53706            0
 Alabama                41            4       157907        66934         5646            1            0         -9            -9               0
 Alabama                41            5       160060        77951         6006            1            1        88542        86717            0
 Alabama                41            6       126062       146599         7357            0            1        40659       152757            0
 Alabama                41            7       144320        36086        27367            1            1       113985        34649            0
 Alaska                 81           98       102378       111849        24889            0            1        58601       101839        18112
 Arizona                61            1       130715       113613        10461            1            1        68661        97513         8683
 Arizona                61            2        90693        41257         5423            1            1        59925        31411         4870
 Arizona                61            3        88830       158906        10767            0            1        60903       141600            0
 Arizona                61            4        70572       156330        37164            0            1        68055       111961         7190
 Arizona                61            5        77256       172867         9690            0            1        58906       139330         7337
 Arizona                61            6       124251        97074        13047            1            1        80362       105005         7570
 Arkansas               42            1       149558        64618            0            1            1        94841        82053            0
 Arkansas               42            2       154946        53978            0            1            1        97463        72419            0
 Arkansas               42            3       117775       125295         6329            0            1        61766       129623            0
 Arkansas               42            4       102918       113009            0            0            1        81372        87461            0
 California             71            1       119676       113266        18264            1            1        88242       100819         -9   
 California             71            2        71780       167247        17529            0            1        53229       131775        20060
 California             71            3       122149        96092        20444            1            1        86825        83729         7461
 California             71            4       129489       141155        12705            0            1        75134       132482         8168
 California             71            5       158250        58698        13608            1            1       118463        50363         4438
 California             71            6       190322        98171         3141            1            1       125117        81342         9313
 California             71            7       153320        54822         9840            1            1       107794        42154         4430
 California             71            8       191906        25693        15083            1            1       119095        26232            0
 California             71            9       164265        53707        10472            1            1       117818        36914         8369
 California             71           10       134635       145702            0            0            1        82555       126295         4459
 California             71           11        90539        94453        13498            0            1        48833        86252         4221
 California             71           12       157205        53278        17924            1            1       102273        49580            0
 California             71           13       123795        64953        16768            1            1        88999        42026         7163
 California             71           14       146873       101202        11132            1            1       109149        70801            0
 California             71           15       168617        82875        13878            1            1       109475        74455            0
 California             71           16        96661        49843         9370            1            1        68778        37359            0
 California             71           17       151565        49947         8855            1            1        76521        66537         4903
 California             71           18       139704            0        25307            1            1        79767        39690         3465
 California             71           19       101619       100590        14432            1            1        64246        92979         5830
 California             71           20        72679        39388            0            1            1        47857        37682            0
 California             71           21        68058       127758          149            0            1        41599       104472        61132
 California             71           22        87328       131242        31252            0            1        89643        90612         4127
 California             71           23        88225       115504         9091            0            1        41453        99022         9800
 California             71           24       141742        99835        13690            1            1        84080        80879         5493
 California             71           25        72233       113611        32871            0            1        47554        97613         5587
 California             71           26        73807        36453        10648            1            1        48840        25101         4112
 California             71           27        83805       105521        23122            0            1        61967        75566         7301
 California             71           28        76525       122353        10504            0            1        45402        99342         3757
 California             71           29       160312        67141        34032            1            1       113023        46226         6350
 California             71           30        48800        20034        14709            1            1        38712        16269         3343
 California             71           31        68324        40873            0            1            1        45503        31156            0
 California             71           32       150644            0        22166            1            1        88007        19469         5559
 California             71           33        32010        15428         3341            1            0        30350            0         6953
 California             71           34        91738        50907         7072            1            1        65598        36039         4492
 California             71           35       102941        17417         4415            1            1        60446        16802            0
 California             71           36       125751       109684        24320            1            1        82322        82415         7930
 California             71           37        97159            0        16178            1            0        58693            0        16777
 California             71           38        82108        92038        15147            0            1        47672        76399         6219
 California             71           39        81728       122472         9484            0            1        46169       105602         7410
 California             71           40        63881       129563        11839            0            1        46360       111738            0
 California             71           41        58777       101753        10136            0            1        47271        77393            0
 California             71           42        79780        69251         8424            1            1        56924        54496            0
 California             71           43        88468        88987        13184            0            1        54129        77152         8887
 California             71           44        81693       110333        11515            0            1        60134        87728        10043
 California             71           45        88508       123731        14777            0            1        51964       116177            0
 California             71           46        45435        55659         9712            0            1        29976        46460         4706
 California             71           47        76924       165004        12297            0            1        49557       143060         6809
 California             71           48        67415       140935        22145            0            1        40150       132319         7914
 California             71           49       127280       106170        15444            1            1        79029        83743         9525
 California             71           50        77293        39531        19739            1            1        55015        34119         7737
 California             71           51        85148       141890        25944            0            1        51785       124557        10084
 California             71           52        88076       112995        12711            0            1        48411        99825         7332
 Colorado               62            1       156629        70902            0            1            1        91568        61304            0
 Colorado               62            2       164790        88470        18101            1            1       105643        81304            0
 Colorado               62            3       114480       143293         4189            0            1        63280       145301            0
 Colorado               62            4       101957       139884            0            0            1        52567       137729            0
 Colorado               62            5        62550       173096         7769            0            0         -9            -9            -9   
 Colorado               62            6        91073       142021            0            0            1        49701       124079         3929
 Connecticut             1            1       164735        75113         5577            1            1       127305        44210         2993
 Connecticut             1            2       123291       119416            0            1            1        79169        79167        27729
 Connecticut             1            3       162568        84952            0            1            1       105065        60372            0
 Connecticut             1            4        58666       147816        13124            0            1        32128        97977         2206
 Connecticut             1            5        74791       104891        60601            0            1        80039        92212         4047
 Connecticut             1            6        60373       166967        12257            0            1        60145       121895         9035
 Delaware               11           98       117426       153037         5661            0            1        51784       137646         5252
 Florida                43            1       118753       100136         9320            1            1        67191       106140            0
 Florida                43            2       167151        60378            0            1            1       115748        72050            0
 Florida                43            3        91877        63070            0            1            1        62650        45390            0
 Florida                43            4       103484       135772            0            0            0         -9            -9            -9   
 Florida                43            5       129678       114331        19459            1            1       125780        94093            0
 Florida                43            6        76396       144120            0            0            0         -9            -9            -9   
 Florida                43            7        96926       125790          213            0            1        47742       131705            0
 Florida                43            8        65132       141925            0            0            0         -9            -9            -9   
 Florida                43            9       110023       157822            0            0            0         -9            -9            -9   
 Florida                43           10       114637       149347            0            0            0         -9            -9            -9   
 Florida                43           11       100962        77625        12729            1            1        76774        72062            0
 Florida                43           12        92333       100468            0            0            1        57018       105737            0
