"congno" "sticpsr" "cd" "stalpha" "occup" "score1" "score2" "year" "stgj" "po" "dv" "dvp" "redist" "i2" "demqa" "i1" "demqal" "nstate" "dpvote" "normvote" "dvfix" "dvpfix"
"1" 80 41 1 "ALABAMA" 0 -0.101 0.279 48 1 0 NA NA 0 1 1 1 1 "Alabama" NA NA NA NA
"2" 80 41 2 "ALABAMA" 0 -0.127 0.364 48 1 0 NA NA 0 1 1 1 1 "Alabama" NA NA NA NA
"3" 80 41 3 "ALABAMA" 0 -0.098 0.485 48 1 0 NA NA 0 1 1 1 1 "Alabama" NA NA NA NA
"4" 80 41 4 "ALABAMA" 0 -0.177 0.424 48 1 0 0.85 0.881 0 1 1 1 1 "Alabama" NA NA 0.822 0.861
"5" 80 41 5 "ALABAMA" 0 -0.256 0.281 48 1 0 NA NA 0 1 1 1 1 "Alabama" NA NA NA NA
"6" 80 41 6 "ALABAMA" 0 -0.235 0.333 48 1 0 0.824 NA 0 0 1 1 1 "Alabama" NA NA 0.824 NA
"7" 80 41 7 "ALABAMA" 0 -0.15 0.379 48 1 0 NA 0.727 0 0 NA 1 1 "Alabama" NA NA NA 0.707
"8" 80 41 8 "ALABAMA" 0 -0.3 0.32 48 1 0 0.884 0.924 0 0 1 1 1 "Alabama" NA NA 0.884 0.904
"9" 80 41 9 "ALABAMA" 0 -0.191 0.313 48 1 0 0.871 0.941 0 1 1 0 NA "Alabama" NA NA 0.843 0.941
"10" 80 42 1 "ARKANSA" 0 0.022 0.368 48 4 0 NA NA 1 1 1 1 1 "Arkansas" NA NA NA NA
"11" 80 42 2 "ARKANSA" 0 -0.151 0.392 48 4 0 NA NA 0 1 1 1 1 "Arkansas" NA NA NA NA
"12" 80 42 3 "ARKANSA" 0 -0.295 0.287 48 4 0 0.686 NA 0 1 1 1 1 "Arkansas" NA NA 0.658 NA
"13" 80 42 4 "ARKANSA" 0 0.068 0.475 48 4 0 0.878 NA 0 0 1 1 1 "Arkansas" NA NA 0.878 NA
"14" 80 42 5 "ARKANSA" 0 -0.258 0.206 48 4 0 0.87 0.852 0 1 1 1 1 "Arkansas" NA NA 0.842 0.832
"15" 80 42 6 "ARKANSA" 0 -0.009 0.401 48 4 0 NA NA 0 1 1 1 1 "Arkansas" NA NA NA NA
"16" 80 42 7 "ARKANSA" 0 -0.111 0.343 48 4 0 NA NA 0 1 1 1 1 "Arkansas" NA NA NA NA
"17" 80 71 1 "CALIFOR" 0 -0.14 0.067 48 5 0 0.454 NA 0 0 -1 1 1 "Californ" NA NA 0.454 NA
"18" 80 71 2 "CALIFOR" 0 -0.14 -0.03 48 5 0 NA NA 0 1 1 1 1 "Californ" NA NA NA NA
"19" 80 71 3 "CALIFOR" 0 0.148 -0.142 48 5 0 NA NA 0 -1 -1 -1 -1 "Californ" NA NA NA NA
"20" 80 71 4 "CALIFOR" 0 -0.476 -0.221 48 5 0 0.517 0.529 0 1 1 1 1 "Californ" NA NA 0.489 0.509
"21" 80 71 5 "CALIFOR" 0 -0.123 -0.555 48 5 0 NA NA 0 -1 -1 -1 -1 "Californ" NA NA NA NA
"22" 80 71 6 "CALIFOR" 0 -0.599 -0.236 48 5 0 NA NA 0 1 1 1 1 "Californ" NA NA NA NA
"23" 80 71 7 "CALIFOR" 0 0.321 -0.114 48 5 0 0.486 0.438 0 -1 -1 0 -1 "Californ" NA NA 0.514 0.438
"24" 80 71 8 "CALIFOR" 0 0.308 -0.02 48 5 0 NA NA 0 -1 -1 -1 -1 "Californ" NA NA NA NA
"25" 80 71 9 "CALIFOR" 0 0.317 -0.089 48 5 0 0.522 0.463 0 -1 -1 -1 -1 "Californ" NA NA 0.55 0.483
"26" 80 71 10 "CALIFOR" 0 0.162 0.215 48 5 0 NA NA 0 0 1 1 1 "Californ" NA NA NA NA
"27" 80 71 11 "CALIFOR" 0 0.351 -0.098 48 5 0 NA 0.469 0 -1 -1 1 0 "Californ" NA NA NA 0.449
"28" 80 71 12 "CALIFOR" 0 0.233 -0.191 48 5 0 NA 0.433 0 -1 -1 1 1 "Californ" NA NA NA 0.413
"29" 80 71 13 "CALIFOR" 0 0.226 -0.232 48 5 1 0.473 0.482 0 -1 0 1 0 "Californ" NA NA 0.501 0.462
"30" 80 71 14 "CALIFOR" 0 -0.604 -0.269 48 5 0 0.668 0.543 0 1 1 1 0 "Californ" NA NA 0.64 0.523
"31" 80 71 15 "CALIFOR" 0 0.192 -0.257 48 5 0 NA NA 0 -1 -1 -1 -1 "Californ" NA NA NA NA
"32" 80 71 16 "CALIFOR" 0 0.32 -0.161 48 5 1 0.429 0.37 0 -1 0 0 1 "Californ" NA NA 0.457 0.37
"33" 80 71 17 "CALIFOR" 0 -0.497 -0.206 48 5 0 NA NA 0 1 1 1 1 "Californ" NA NA NA NA
"34" 80 71 18 "CALIFOR" 0 0.34 -0.172 48 5 1 0.544 0.472 0 -1 0 1 1 "Californ" NA NA 0.572 0.452
"35" 80 71 19 "CALIFOR" 0 -0.551 -0.189 48 5 1 0.717 NA 0 1 0 1 1 "Californ" NA NA 0.689 NA
"36" 80 71 20 "CALIFOR" 0 0.233 -0.191 48 5 0 NA 0.406 0 -1 -1 -1 0 "Californ" NA NA NA 0.426
"37" 80 71 21 "CALIFOR" 0 -0.265 0.02 48 5 0 0.564 0.527 0 1 1 1 1 "Californ" NA NA 0.536 0.507
"38" 80 71 22 "CALIFOR" 0 0.541 -0.051 48 5 0 NA 0.379 0 -1 -1 -1 0 "Californ" NA NA NA 0.399
"39" 80 71 23 "CALIFOR" 0 0.339 -0.197 48 5 0 0.564 0.437 0 -1 -1 1 1 "Californ" NA NA 0.592 0.417
"40" 80 62 1 "COLORAD" 0 -0.599 -0.172 48 6 0 0.648 0.521 0 1 1 -1 0 "Colorado" NA NA 0.62 0.541
"41" 80 62 2 "COLORAD" 0 0.343 -0.029 48 6 0 0.481 0.334 0 -1 -1 -1 -1 "Colorado" NA NA 0.509 0.354
"42" 80 62 3 "COLORAD" 0 0.336 -0.076 48 6 1 0.507 0.454 0 -1 0 -1 -1 "Colorado" NA NA 0.535 0.474
"43" 80 62 4 "COLORAD" 0 0.333 0.05 48 6 1 0.519 0.413 0 -1 0 -1 -1 "Colorado" NA NA 0.547 0.433
"44" 80 1 1 "CONNECT" 0 0.104 -0.295 48 7 1 0.553 0.469 0 -1 0 1 0 "Connecti" NA NA 0.581 0.449
"45" 80 1 2 "CONNECT" 0 0.149 -0.381 48 7 1 0.517 0.447 0 -1 0 1 1 "Connecti" NA NA 0.545 0.427
"46" 80 1 3 "CONNECT" 0 0.221 -0.466 48 7 1 0.504 0.411 0 -1 0 1 0 "Connecti" NA NA 0.532 0.391
"47" 80 1 4 "CONNECT" 0 0.13 -0.369 48 7 0 0.44 0.383 0 -1 -1 0 NA "Connecti" NA NA 0.468 0.383
"48" 80 1 5 "CONNECT" 0 0.279 -0.422 48 7 1 0.481 0.435 0 -1 0 0 NA "Connecti" NA NA 0.509 0.435
"49" 80 11 1 "DELAWAR" 0 0.366 -0.23 48 8 1 0.492 0.436 0 -1 0 1 1 "Delaware" NA NA 0.52 0.416
"50" 80 43 1 "FLORIDA" 0 -0.146 0.307 48 9 0 NA NA 0 1 1 1 1 "Florida" NA NA NA NA
"51" 80 43 2 "FLORIDA" 0 -0.029 0.358 48 9 0 0.911 NA 0 0 1 1 1 "Florida" NA NA 0.911 NA
"52" 80 43 3 "FLORIDA" 0 -0.077 0.388 48 9 0 NA NA 0 1 1 1 1 "Florida" NA NA NA NA
"53" 80 43 4 "FLORIDA" 0 -0.167 0.293 48 9 0 0.81 0.719 0 1 1 0 NA "Florida" NA NA 0.782 0.719
"54" 80 43 5 "FLORIDA" 0 -0.092 0.296 48 9 0 0.707 0.613 0 0 1 1 1 "Florida" NA NA 0.707 0.593
"55" 80 43 6 "FLORIDA" 0 -0.043 0.369 48 9 0 0.667 0.711 0 1 1 1 1 "Florida" NA NA 0.639 0.691
"56" 80 44 1 "GEORGIA" 0 -0.154 0.353 48 10 0 NA NA 0 1 1 0 1 "Georgia" NA NA NA NA
"57" 80 44 2 "GEORGIA" 0 0.013 0.432 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"58" 80 44 3 "GEORGIA" 0 -0.132 0.405 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"59" 80 44 4 "GEORGIA" 0 -0.167 0.391 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"60" 80 44 5 "GEORGIA" 0 0.072 0.39 48 10 0 NA NA 0 1 1 0 1 "Georgia" NA NA NA NA
"61" 80 44 6 "GEORGIA" 0 -0.197 0.245 48 10 0 NA NA 0 1 1 1 1 "Georgia" NA NA NA NA
"62" 80 44 7 "GEORGIA" 0 -0.246 0.24 48 10 0 NA NA 0 1 1 0 1 "Georgia" NA NA NA NA
"63" 80 44 8 "GEORGIA" 0 0.059 0.476 48 10 0 NA NA 0 1 1 0 NA "Georgia" NA NA NA NA
