treatment,senior,building,roach1,roach2
1,0,11,308,191.25
1,0,11,331.25,211.67
1,0,11,1.67,7
1,0,11,3,7
1,0,11,2,0
1,0,11,0,0
1,0,11,70,91.25
1,0,11,64.56,21
0,0,12,1,2
0,0,12,14,1.75
0,0,12,138.25,0
0,0,12,16,21
0,0,12,97,0
0,0,12,98,223.75
0,0,12,44,136
0,0,12,450,130
0,0,12,36.67,2.5
0,0,12,75,5
0,0,12,2,1
0,0,12,342.5,203
0,0,12,22.5,32
0,0,12,4,1
0,0,12,94,135
0,0,12,132.13,68.83
0,0,12,80,29
0,0,12,95,120
0,0,12,34.13,55
0,0,12,19,1
0,0,12,25,2
0,0,12,57.5,193
0,0,12,3.11,13
0,0,12,10.5,37
0,0,12,47,2
0,0,12,2.63,0
0,0,12,204,3
0,0,12,0,0
0,0,12,0,0
0,0,12,246.25,18.75
0,0,12,76.22,7
0,0,12,15,13.3
0,0,12,14.88,0
0,0,12,51,19
0,0,12,15,4
0,0,12,52.5,152.5
0,0,12,13.75,48
0,0,12,1.17,0
0,0,12,1,0
0,0,12,2,3
0,0,12,0,0
0,0,12,2,9
0,0,12,2,0
0,0,12,30,0
0,0,12,7,0
0,0,12,18,12
0,0,12,2,0
0,0,12,266,357
1,0,13,174,12.03
1,0,13,252,60
1,0,13,0.88,0
1,0,13,372.5,159
1,0,13,42,50
1,0,13,19,62.22
1,0,13,263,178
1,0,13,34,2.8
1,0,13,1.75,6
1,0,13,213.5,0
1,0,13,13.13,33
1,0,13,154,127
1,0,13,21,4
1,0,13,220,63
1,0,13,38.32,88
1,0,13,352.5,8.33
1,0,13,7,0
1,0,13,4,0
1,0,13,59.5,62
1,0,13,7.5,4
1,0,13,112.88,116.67
1,0,13,172,38
1,0,13,13,0
1,0,13,18,3
1,0,13,0,1
1,0,13,27,14
1,0,13,148,77
1,0,13,32,36.75
1,0,13,28,21
1,0,13,0,1
1,0,13,28,45
1,1,10,0,0
1,1,10,14,0
1,1,10,5,0
1,1,10,0,0
1,1,10,104,0
1,1,10,27,183
1,1,10,132,28
1,1,10,258,49
1,1,10,1,1
1,1,10,2,0
1,1,10,6,0
1,1,10,3,3.75
1,1,10,3,0
1,1,10,0,0
1,1,10,0,0
1,1,10,0,0
1,1,10,1.25,18
1,1,10,0,0
1,1,10,16,0
1,1,10,68,12.5
1,1,10,1,0
1,1,10,18,16.63
1,1,10,123.67,5
1,1,10,2,0
1,1,10,82.5,27
1,1,10,0,0
1,1,10,1.25,0
1,1,10,171,77
1,1,10,91.88,1
1,1,10,5,3
1,1,10,7,2
1,1,10,0,0
1,1,10,4,0
1,1,10,53.75,22
1,1,10,138.06,89.25
1,1,10,1,0
1,1,10,1.25,0
1,1,10,28,0
1,1,10,15,0
1,1,10,0.88,0
1,1,10,0,0
1,1,10,33,1
1,1,10,136.25,0.93
1,1,10,127.5,15
1,1,10,2,2.5
1,1,10,2,0
1,1,10,0,0
1,1,10,3,1
1,1,10,46,0
1,1,10,68,40
1,1,10,0,0
1,1,10,49,1
1,1,10,27.13,2
1,0,13,45.5,27
1,0,13,0,0
1,0,13,4,2
1,0,6,0,0
1,0,6,1,0
1,0,6,0,0
1,0,6,0,0
1,0,6,10.5,2.63
1,0,6,0,1
1,0,6,3,17.5
1,0,6,0,0
1,0,6,0,0
1,0,6,0,0
1,0,6,3.75,0
1,0,6,0,0
1,0,6,0,0
0,0,4,0,0
0,0,4,0.88,0
1,0,7,2,0
1,0,7,81,46.38
1,0,7,31,30.19
1,0,7,10,15
1,0,7,10.23,0
0,0,4,0,2.5
1,0,7,13,4.67
1,0,7,1,7.5
1,0,7,33.25,9.33
0,0,4,0,0
0,0,4,53,0
1,0,7,5,0
1,0,7,157,21
1,0,7,23.33,38
1,0,7,6,0
1,0,7,10,3.33
1,0,8,100,21
1,0,8,55,34
1,0,8,0,1.25
1,0,8,16.25,109
1,0,8,7.78,3.37
1,0,8,53,15
1,0,8,2,0
1,0,8,73,64
1,0,8,0,0
1,0,8,0,1.25
1,0,8,0,0
1,0,8,3.18,1
0,0,5,5,3.5
0,0,5,3,6.25
0,0,5,0,7
0,0,5,10,22.5
0,0,5,1,1
1,0,9,0,0
1,0,9,1,0
1,0,9,12,3
1,0,9,17,3
1,0,9,16,0
1,0,9,2.5,13.3
1,0,9,0,0
1,0,2,21.88,10.37
1,0,2,173,32.5
1,0,2,111,50
1,0,2,35,8.08
1,0,2,0,0
1,0,2,3,19
1,0,2,2.1,5
1,0,2,0,17
1,0,2,49,121
1,0,2,1.25,1
1,0,2,1,0
1,0,2,1,0
1,0,2,0,0
1,0,2,0,0
1,0,2,54,5
1,0,2,4.2,0.7
1,0,2,51.25,13.61
1,0,2,30,0.58
0,0,3,196,21.88
0,0,3,0,0
0,0,3,2,14
0,0,3,1.5,0
0,0,3,96.25,51.63
0,0,3,241.5,303.75
0,0,3,140,56
0,0,3,18,75.47
0,0,3,3,12.25
0,0,3,0.54,7
0,0,3,82,63.33
0,0,3,19,37
0,0,3,18.75,60
0,0,3,51,256.38
0,0,3,0,7
0,0,3,1,7
0,0,3,0,19
0,0,3,5.44,24
0,0,3,0,91
0,1,1,3,1
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,28.75,129.5
0,1,1,0,3.5
0,1,1,3,26
0,1,1,2,12
0,1,1,135,77
0,1,1,0,0
0,1,1,68.25,7
0,1,1,1,0
0,1,1,0,1
0,1,1,0,0
0,1,1,0,16.53
0,1,1,1,0
0,1,1,1,7
0,1,1,2.5,16.04
0,1,1,51.25,7.5
0,1,1,13.13,50
0,1,1,0,1.25
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,171
0,1,1,0,8
