roachsum1,trapmiss1,trapdays1,trapdays2,roachsum2,trapmiss2
396,0,9,7,153,1
265,1,7,7,127,2
1,2,7,7,7,0
114,1,9,7,158,0
3,0,7,7,7,0
2,0,7,8,0,0
0,0,7,7,0,0
1,0,8,,,
70,0,7,7,73,1
83,0,9,8,24,0
1,0,7,7,2,0
14,0,7,8,2,0
72,0,7,,,
158,0,8,7,0,0
16,0,7,7,21,0
97,0,7,7,0,0
140,0,10,7,179,1
44,0,7,7,136,0
450,0,7,7,104,1
88,1,21,7,2,1
75,0,7,7,5,0
2,0,7,7,1,0
274,1,7,7,203,0
152,0,8,,,
18,1,7,7,32,0
4,0,7,7,1,0
94,0,7,7,135,0
151,0,8,6,59,0
80,0,7,7,29,0
95,0,7,7,120,0
39,0,8,7,44,1
19,0,7,7,1,0
25,0,7,7,2,0
0,0,7,,,
46,1,7,7,193,0
4,0,9,7,13,0
12,0,8,7,37,0
47,0,7,7,2,0
3,0,8,7,0,0
204,0,7,7,3,0
1,0,7,,,
0,0,8,7,0,0
0,0,9,7,0,0
144,1,6,,,
197,1,7,7,15,1
98,0,9,11,11,0
15,0,7,10,19,0
17,0,8,7,0,0
51,0,7,7,19,0
15,0,7,7,4,0
42,1,7,7,122,1
12,0,7,,,
11,1,7,7,48,0
1,0,6,7,0,0
1,0,7,7,0,0
10,2,8,,,
2,0,7,7,3,0
0,0,7,7,0,0
2,0,7,7,9,0
2,0,7,8,0,0
30,0,7,8,0,0
7,0,7,7,0,0
18,0,7,7,12,0
2,0,7,7,0,1
342,0,9,7,357,0
174,0,7,8,11,1
252,0,7,7,60,0
1,0,8,9,0,0
298,1,7,7,159,0
42,0,7,7,50,0
19,0,7,9,48,2
263,0,7,7,178,0
34,0,7,10,4,0
2,0,8,7,6,0
33,0,7,,,
4,0,8,,,
36,1,9,,,
244,1,10,9,0,2
15,0,8,7,33,0
154,0,7,7,127,0
21,0,7,7,4,0
176,1,7,7,63,0
127,1,29,7,88,0
141,3,7,7,5,2
7,0,7,7,0,0
4,0,7,7,0,0
68,0,8,7,62,0
6,1,7,7,4,0
129,0,8,9,150,0
172,0,7,7,38,0
13,0,7,7,0,0
18,0,7,7,3,0
0,0,8,7,1,0
27,0,7,7,14,0
148,0,7,7,77,0
32,0,7,8,42,0
28,0,7,7,21,0
0,1,7,7,1,0
28,0,7,7,45,0
0,1,7,7,0,1
11,0,7,,,
14,0,7,7,0,1
5,0,7,7,0,0
0,0,8,7,0,0
104,0,7,6,0,1
0,0,7,,,
27,0,7,7,183,0
132,0,7,7,28,0
258,0,7,7,49,0
1,0,7,7,1,0
161,0,7,,,
2,0,7,7,0,0
6,0,7,7,0,0
3,0,7,7,3,1
7,1,8,,,
3,0,7,6,0,0
0,2,7,7,0,0
0,0,8,7,0,0
0,0,9,7,0,0
1,1,7,7,18,0
0,1,7,7,0,0
16,0,7,7,0,0
0,1,7,,,
68,0,7,7,5,3
1,0,7,7,0,1
18,0,7,8,19,0
106,0,6,7,5,0
0,0,7,,,
2,0,7,7,0,1
66,1,7,7,27,0
10,0,9,,,
0,0,7,7,0,4
1,1,7,7,0,0
171,0,7,7,77,0
2,0,10,,,
84,1,8,7,1,0
5,0,7,7,3,0
7,0,7,7,2,0
0,0,7,7,0,0
4,0,7,7,0,0
43,1,7,7,22,0
71,2,6,8,102,0
0,0,7,,,
1,0,7,8,0,0
1,1,7,7,0,0
82,0,7,,,
0,0,7,,,
0,0,9,,,
28,0,7,7,0,1
15,0,7,7,0,0
1,0,8,7,0,1
0,0,7,7,0,0
33,0,7,7,0,0
109,1,7,30,4,0
102,1,7,7,12,1
2,0,7,7,2,1
2,0,7,7,0,1
0,0,7,7,0,0
3,0,7,7,1,0
46,0,7,9,0,0
68,0,7,7,40,0
0,1,7,,,
0,0,7,7,0,0
49,0,7,7,1,0
31,0,8,7,2,0
21,0,7,,,
52,0,8,7,27,0
0,0,8,8,0,3
4,0,7,7,2,0
0,1,18,17,0,0
1,0,7,10,0,0
4,1,7,,,
6,0,7,,,
0,0,7,,,
0,2,7,7,0,0
0,0,7,7,0,0
15,0,10,8,3,0
0,0,7,7,1,0
3,0,7,8,20,0
0,0,7,7,0,0
0,1,7,7,0,0
45,0,7,,,
0,0,9,,,
0,0,7,7,0,0
3,1,7,7,0,1
0,0,7,8,0,0
0,0,7,7,0,0
0,0,7,,,
10,0,9,,,
0,0,7,7,0,1
1,0,8,11,0,0
2,0,7,7,0,0
81,0,7,8,53,0
0,0,8,,,
2,0,11,,,
31,0,7,16,69,0
6,2,7,7,15,0
19,0,13,4,0,0
0,0,7,7,2,1
13,0,7,6,4,0
0,0,7,,,
1,0,7,7,6,1
38,0,8,10,8,2
0,0,7,16,0,0
53,0,7,7,0,1
5,0,7,7,0,0
157,0,7,6,18,0
16,1,6,7,38,0
6,0,7,9,0,1
9,0,7,,,
10,0,7,7,2,2
100,0,7,6,18,0
55,0,7,7,34,0
0,0,7,7,1,1
13,1,7,7,109,0
10,0,9,13,5,1
53,0,7,7,15,0
2,0,7,7,0,0
73,0,7,7,64,0
0,0,7,7,0,1
0,1,7,7,1,1
0,0,9,7,0,0
5,0,11,7,1,0
5,0,7,6,3,0
3,0,7,7,5,1
10,0,7,,,
0,0,7,7,7,0
0,0,7,,,
10,0,7,7,18,1
4,0,8,,,
1,0,7,7,1,0
0,0,7,7,0,0
1,0,7,7,0,1
12,0,7,7,3,0
21,0,7,,,
17,0,7,7,3,0
16,0,7,7,0,0
2,1,7,10,19,0
0,0,7,12,0,0
1,0,7,,,
25,0,8,9,8,2
173,0,7,7,26,1
111,0,7,7,50,0
35,0,7,13,15,0
40,0,16,,,
46,0,7,,,
0,0,7,7,0,0
36,0,8,,,
3,0,7,7,19,0
3,0,10,7,5,0
31,1,7,,,
0,0,8,12,0,0
0,0,7,7,17,0
4,0,7,,,
49,0,7,7,121,0
1,1,7,7,1,0
1,0,7,7,0,1
1,0,7,7,0,0
0,0,7,7,0,0
0,0,12,16,0,0
54,0,7,7,4,1
6,0,10,10,1,0
41,1,7,9,14,1
30,0,7,12,1,0
3,0,20,,,
168,2,10,10,25,1
0,0,7,,,
0,1,7,8,0,0
2,0,7,7,14,0
3,0,14,7,0,0
0,0,7,,,
77,1,7,8,59,0
276,0,8,7,243,1
120,0,6,10,80,0
18,0,7,8,69,1
3,0,7,8,14,0
34,0,7,,,
1,0,13,9,9,0
3,0,8,,,
82,0,7,7,38,2
19,0,7,7,37,0
15,1,7,7,48,1
51,0,7,10,293,1
0,0,7,,,
0,0,7,7,7,0
1,0,7,10,10,0
0,0,7,7,19,0
0,0,7,,,
7,0,9,7,24,0
0,0,7,7,91,0
3,0,7,7,1,0
0,0,7,7,0,0
0,0,7,7,0,0
0,0,7,7,0,0
0,0,7,,,
0,0,7,7,0,0
23,1,7,8,148,0
0,0,7,6,3,0
8,0,7,,,
0,0,7,,,
3,0,7,7,26,0
2,0,7,7,12,0
135,0,7,7,77,0
0,1,9,7,0,0
78,0,8,7,7,0
1,0,7,7,0,0
0,0,8,7,1,0
0,0,11,7,0,2
0,1,8,9,17,1
1,0,7,7,0,0
1,0,7,7,7,0
2,1,7,6,11,1
0,0,7,,,
3,0,7,,,
41,1,7,7,6,1
12,1,8,7,50,0
0,0,7,7,1,1
0,0,7,13,0,1
0,0,9,,,
0,0,7,7,0,0
0,0,8,7,0,0
0,0,7,7,171,0
0,0,6,,,
0,0,9,7,8,0
