# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=3
# stan_version_patch=0
# model=bernoulli_model
# data=bernoulli.data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2488311526
# chain_id=1
# iter=2000
# warmup=1000
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
# algorithm=NUTS with a diagonal Euclidean metric
#
lp__,accept_stat__,stepsize__,treedepth__,theta
# Adaptation terminated
# Step size = 2.05813
# Diagonal elements of inverse mass matrix:
# 0.502697
-7.14034,0.157449,2.05813,0,0.36988
-6.83799,1,2.05813,0,0.199631
-6.76552,1,2.05813,0,0.227116
-6.76552,0.165167,2.05813,0,0.227116
-6.76552,0.00291838,2.05813,0,0.227116
-6.76552,0.336645,2.05813,0,0.227116
-7.1753,0.674162,2.05813,0,0.147778
-7.1753,0.0195448,2.05813,0,0.147778
-8.0224,0.311648,2.05813,0,0.474062
-6.90161,1,2.05813,0,0.323137
-6.90161,0.127165,2.05813,0,0.323137
-6.90161,0.284042,2.05813,0,0.323137
-6.90161,0.362851,2.05813,0,0.323137
-7.19467,0.653041,2.05813,0,0.378421
-7.59373,0.32278,2.05813,1,0.430312
-6.92594,1,2.05813,0,0.180799
-6.92594,0.103137,2.05813,0,0.180799
-6.92594,0.424637,2.05813,0,0.180799
-6.92594,0.0916048,2.05813,0,0.180799
-7.15339,0.818535,2.05813,0,0.150068
-7.04192,0.398595,2.05813,0,0.352886
-7.46613,0.643921,2.05813,0,0.123129
-7.46613,0.203277,2.05813,0,0.123129
-7.46613,0.00510883,2.05813,0,0.123129
-6.76949,1,2.05813,0,0.27648
-6.76949,0.359652,2.05813,0,0.27648
-6.77502,0.768694,2.05813,0,0.221728
-7.24081,0.532347,2.05813,0,0.385304
-6.81205,1,2.05813,0,0.296401
-6.81205,0.81251,2.05813,0,0.296401
-7.03287,0.786556,2.05813,0,0.164391
-7.05844,0.281824,2.05813,0,0.355902
-7.13048,0.899163,2.05813,0,0.368273
-7.13048,0.535468,2.05813,0,0.368273
-7.72692,0.24533,2.05813,1,0.444872
-7.72692,0.758353,2.05813,0,0.444872
-7.39379,1,2.05813,0,0.128465
-6.95986,1,2.05813,0,0.175063
-6.95986,0.000915787,2.05813,0,0.175063
-6.79755,1,2.05813,0,0.2121
-7.18134,0.698687,2.05813,0,0.147161
-6.8595,1,2.05813,0,0.194287
-6.8595,2.12748e-09,2.05813,0,0.194287
-6.8595,1.10452e-09,2.05813,0,0.194287
-6.8595,8.25282e-07,2.05813,0,0.194287
-8.29873,0.346948,2.05813,0,0.0810517
-8.29873,0.000725711,2.05813,0,0.0810517
-7.20698,1,2.05813,0,0.380288
-7.20698,0.115823,2.05813,0,0.380288
-6.77618,1,2.05813,0,0.221147
-6.77618,0.381478,2.05813,0,0.221147
-6.7623,1,2.05813,0,0.229287
-6.7623,0.036835,2.05813,0,0.229287
-6.77138,0.925497,2.05813,0,0.277646
-6.7771,0.992674,2.05813,0,0.280921
-6.7771,0.146479,2.05813,0,0.280921
-6.81096,0.95658,2.05813,0,0.295991
-6.81096,0.098578,2.05813,0,0.295991
-6.81096,0.166708,2.05813,0,0.295991
-6.81096,0.132888,2.05813,0,0.295991
-6.74944,1,2.05813,0,0.243378
-6.74944,7.42173e-06,2.05813,0,0.243378
-6.74944,0.140279,2.05813,0,0.243378
-6.74944,4.61309e-06,2.05813,0,0.243378
-6.87702,0.871427,2.05813,0,0.190356
-6.87702,0.597063,2.05813,0,0.190356
-8.70714,0.282842,2.05813,0,0.0677513
-8.2195,1,2.05813,0,0.0840373
-7.50345,0.823858,2.05813,0,0.419809
-7.50345,0.144963,2.05813,0,0.419809
-7.7714,0.656708,2.05813,0,0.449519
-7.7714,0.501355,2.05813,0,0.449519
-7.7714,0.00112757,2.05813,0,0.449519
-7.7714,6.40213e-08,2.05813,0,0.449519
-7.7714,0.590266,2.05813,0,0.449519
-7.6045,1,2.05813,0,0.11397
-7.6045,1.64448e-05,2.05813,0,0.11397
-7.6045,0.686998,2.05813,0,0.11397
-6.83833,1,2.05813,0,0.199541
-6.75287,1,2.05813,0,0.237823
-6.75287,0.212951,2.05813,0,0.237823
-6.75287,0.0860329,2.05813,0,0.237823
-6.75287,2.87236e-07,2.05813,0,0.237823
-6.75287,0.121849,2.05813,0,0.237823
-6.75287,6.06241e-07,2.05813,0,0.237823
-6.75361,0.937382,2.05813,0,0.263365
-6.75361,0.16,2.05813,0,0.263365
-6.75361,0.231096,2.05813,0,0.263365
-6.83906,0.908467,2.05813,0,0.19935
-9.4483,0.18138,2.05813,0,0.0500106
-9.4483,0.000537726,2.05813,0,0.0500106
-6.74897,1,2.05813,0,0.244571
-6.74897,0.000938921,2.05813,0,0.244571
-9.38394,0.141517,2.05813,0,0.0513044
-7.38606,1,2.05813,0,0.405221
-7.38606,1,2.05813,0,0.405221
-6.80182,1,2.05813,0,0.292413
-6.80182,0.67723,2.05813,0,0.292413
-7.15763,0.686541,2.05813,0,0.149618
-7.15763,0.523327,2.05813,0,0.149618
-7.15763,0.659257,2.05813,0,0.149618
-7.32886,0.782246,2.05813,0,0.397658
-8.73185,0.251431,2.05813,0,0.0670425
-6.75158,1,2.05813,0,0.239554
-6.75158,0.482259,2.05813,0,0.239554
-6.77342,0.975536,2.05813,0,0.222556
-6.77342,0.00198181,2.05813,0,0.222556
-6.77342,0.00312913,2.05813,0,0.222556
-8.15506,0.329351,2.05813,0,0.0865814
-6.92457,1,2.05813,0,0.181045
-6.92457,0.000388919,2.05813,0,0.181045
-6.92457,0.0936571,2.05813,0,0.181045
-6.86156,1,2.05813,0,0.193808
-6.86156,0.0296414,2.05813,0,0.193808
-7.55669,0.386232,2.05813,0,0.42607
-9.28578,0.816735,2.05813,0,0.0533563
-6.7526,1,2.05813,0,0.262084
-6.7526,0.246967,2.05813,0,0.262084
-6.7526,0.320129,2.05813,0,0.262084
-6.7526,0.102877,2.05813,0,0.262084
-6.7526,0.103024,2.05813,0,0.262084
-6.7526,0.0913832,2.05813,0,0.262084
-6.94575,0.811856,2.05813,0,0.177377
-6.94575,0.611245,2.05813,0,0.177377
-7.20164,0.802006,2.05813,0,0.145129
-7.59519,0.581015,2.05813,0,0.430477
-6.75359,1,2.05813,0,0.236971
-6.75359,3.06052e-05,2.05813,0,0.236971
-7.18454,0.65648,2.05813,0,0.146836
-7.18454,0.00648201,2.05813,0,0.146836
-7.18454,0.000511765,2.05813,0,0.146836
-6.76569,1,2.05813,0,0.227005
-6.76569,3.85195e-11,2.05813,1,0.227005
-6.76995,0.880184,2.05813,0,0.276763
-6.76995,0.231438,2.05813,0,0.276763
-6.93097,0.83759,2.05813,0,0.17991
-6.74886,1,2.05813,0,0.244912
-6.74886,0.837233,2.05813,0,0.244912
-6.74886,0.0502505,2.05813,0,0.244912
-6.91902,0.800432,2.05813,0,0.327368
-6.91902,0.0375081,2.05813,0,0.327368
-6.91902,0.512947,2.05813,0,0.327368
-7.54227,0.528188,2.05813,0,0.117935
-7.01456,1,2.05813,0,0.166891
-7.01456,2.88188e-07,2.05813,0,0.166891
-7.04808,0.970985,2.05813,0,0.162391
-7.04808,0.812155,2.05813,0,0.162391
-7.04808,0.000237408,2.05813,0,0.162391
-7.55336,0.503873,2.05813,0,0.425685
-7.55336,0.483824,2.05813,0,0.425685
-7.093,0.52687,2.05813,1,0.361985
-7.093,0.127195,2.05813,0,0.361985
-6.84014,1,2.05813,0,0.306025
-6.74821,1,2.05813,0,0.252419
-6.74821,0.195395,2.05813,0,0.252419
-6.74821,4.34042e-08,2.05813,0,0.252419
-6.74821,0.358974,2.05813,0,0.252419
-6.74821,0.01504,2.05813,0,0.252419
